Brand,Name,Top__GRAPHICS PROCESSOR,Top__PIXEL SHADERS,Top__VERTEX SHADERS,Top__TMUS,Top__ROPS,Top__MEMORY SIZE,Top__MEMORY TYPE,Top__BUS WIDTH,Graphics Processor__GPU Name,Graphics Processor__Architecture,Graphics Processor__Process Size,Graphics Processor__Transistors,Graphics Processor__Die Size,Graphics Card__Release Date,Graphics Card__Generation,Graphics Card__Successor,Graphics Card__Production,Graphics Card__Bus Interface,Clock Speeds__GPU Clock,Clock Speeds__Memory Clock,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Memory__Bandwidth,Render Config__Pixel Shaders,Render Config__Vertex Shaders,Render Config__TMUs,Render Config__ROPs,Theoretical Performance__Pixel Rate,Theoretical Performance__Texture Rate,Board Design__Slot Width,Board Design__TDP,Board Design__Suggested PSU,Board Design__Outputs,Board Design__Board Number,Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__OpenCL,Graphics Features__Vulkan,Graphics Features__Pixel Shader,Graphics Features__Vertex Shader,source_file,Graphics Processor__Foundry,Graphics Card__Predecessor,Recommended Resolutions,Graphics Card__Launch Price,Board Design__Length,Graphics Processor__GPU Variant,Board Design__Power Connectors,Graphics Processor__Density,Theoretical Performance__Vertex Rate,Board Design__Height,Board Design__Weight,Board Design__Width,Graphics Card__Reviews,Board Design__Inputs,Mobile Graphics__Release Date,Mobile Graphics__Generation,Mobile Graphics__Production,Mobile Graphics__Bus Interface,Mobile Graphics__Reviews,Graphics Processor__Chip Package,Integrated Graphics__Release Date,Integrated Graphics__Generation,Integrated Graphics__Production,Integrated Graphics__Bus Interface,Integrated Graphics__Reviews,Mobile Graphics__Successor,Mobile Graphics__Predecessor,Clock Speeds__Base Clock,Clock Speeds__Boost Clock,Integrated Graphics__Successor,Graphics Features__Shader Model,Top__CORES,Render Config__Shading Units,Render Config__Compute Units,Render Config__L2 Cache,Theoretical Performance__FP32 (float),Theoretical Performance__FP64 (double),Render Config__L1 Cache,Integrated Graphics__Predecessor,IGP Variants__List,Integrated Graphics__Launch Price,Graphics Card__Announced,Board Design__Storage,Theoretical Performance__FP16 (half),Graphics Card__Availability,Board Design__Part Number,Graphics Card__Current Price,Clock Speeds__SOC Clock,Clock Speeds__Game Clock,Clock Speeds__Peak Clock,Board Design__BIOS Number,Clock Speeds__UVD Clock,Render Config__RT Cores,Render Config__L0 Cache,Render Config__L3 Cache,Render Config__MCM,Graphics Processor__Codename,Graphics Processor__MCD Process,Graphics Processor__Process Type,Graphics Processor__GCD Transistors,Graphics Processor__MCD Transistors,Graphics Processor__GCD Density,Graphics Processor__MCD Density,Graphics Processor__GCD Die Size,Graphics Processor__MCD Die Size,Clock Speeds__Shader Clock,Render Config__Matrix Cores,Board Design__Base Storage,Graphics Processor__GCD Size,Graphics Processor__MCD Size,Graphics Processor__Package Size,Mobile Graphics__Availability,Integrated Graphics__Announced,Render Config__Execution Units,Graphics Processor__Generation,Render Config__XMX Cores,Graphics Processor__S-Spec,Render Config__SM Count,Graphics Features__CUDA,Graphics Features__CUDA SDK,Render Config__SMX Count,Mobile Graphics__Launch Price,Render Config__SMM Count,Render Config__Tensor Cores,Theoretical Performance__BF16,Theoretical Performance__TF32,Theoretical Performance__FP64 Tensor,Graphics Features__NVENC,Graphics Features__NVDEC,Mobile Graphics__Announced
ATI,Color Emulation Card,CW16800-A,,,,,32 KB,DRAM,32 bit,CW16800-A,Wonder,800 nm,unknown,90 mm²,"Aug 4th, 1986",MDA/CGA,EGA,End-of-life,ISA 8-bit,10 MHz,5 MHz,32 KB,DRAM,32 bit,20.00 MB/s,0.0,0.0,0,0,0 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,168230-1,,,,,,,1986.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,Graphics Solution,CW16800-A,,,,,64 KB,DRAM,32 bit,CW16800-A,Wonder,800 nm,unknown,90 mm²,"Sep 22nd, 1986",MDA/CGA,EGA,End-of-life,ISA 8-bit,10 MHz,5 MHz,64 KB,DRAM,32 bit,20.00 MB/s,0.0,0.0,0,0,0 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,168228,,,,,,,1986.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,EGA Wonder 800,16899-0,1,,,1,256 KB,DRAM,32 bit,16899-0 | CHIPS P82C435,Wonder,800 nm,unknown,90 mm² | unknown,"Nov 16th, 1987",EGA,VGA,End-of-life,ISA 8-bit,10 MHz,8 MHz,256 KB,DRAM,32 bit,32.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,16900,,,,,,,1987.json,NEC,MDA/CGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,Graphics Solution Plus,CW16800-B,,,,,64 KB,DRAM,32 bit,CW16800-B,Wonder,800 nm,unknown,90 mm²,"Mar 23rd, 1987",MDA/CGA,EGA,End-of-life,ISA 8-bit,10 MHz,5 MHz,64 KB,DRAM,32 bit,20.00 MB/s,0.0,0.0,0,0,0 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,168248,,,,,,,1987.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,VGA Improved Performance,16899-0,1,,,1,256 KB,DRAM,32 bit,16899-0 | CHIPS P82C441,Wonder,800 nm,unknown,90 mm² | unknown,"Sep 28th, 1987",VGA,Mach 8,End-of-life,ISA 8-bit,10 MHz,10 MHz,256 KB,DRAM,32 bit,40.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,1x VGA,18008,,,,,,,1987.json,NEC,EGA,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768,449 USD,178 mm 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,EGA Wonder 480,16899-0,1,,,1,256 KB,DRAM,32 bit,16899-0 | CHIPS P82C435,Wonder,800 nm,unknown,90 mm² | unknown,"Dec 26th, 1988",EGA,VGA,End-of-life,ISA 8-bit,10 MHz,8 MHz,256 KB,DRAM,32 bit,32.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,104001500,,,,,,,1988.json,NEC,MDA/CGA,,399 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,EGA Wonder 800+,18800-1,1,,,1,256 KB,DRAM,32 bit,18800-1,Wonder,800 nm,unknown,90 mm²,1988,EGA,VGA,End-of-life,ISA 8-bit,25 MHz,8 MHz,256 KB,DRAM,32 bit,32.00 MB/s,1.0,0.0,0,1,25.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,109006000,,,,,,,1988.json,NEC,MDA/CGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,VGA Wonder,18800-1,1,,,1,256 KB,DRAM,32 bit,18800-1,Wonder,800 nm,unknown,90 mm²,"Feb 5th, 1990",VGA,Mach 8,End-of-life,ISA 8-bit,10 MHz,10 MHz,256 KB,DRAM,32 bit,40.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,1x VGA,,,,,,,,1990.json,NEC,EGA,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,VGA Wonder+,28800-5,1,,,1,512 KB,DRAM,32 bit,28800-5,Wonder,800 nm,unknown,90 mm²,"Nov 1st, 1990",VGA,Mach 8,End-of-life,ISA 16-bit,10 MHz,10 MHz,512 KB,DRAM,32 bit,40.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,1x VGA,,,,,,,,1990.json,NEC,EGA,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,8514-Ultra,Mach8,1,,,1,1 MB,VRAM,32 bit,Mach8,Mach,800 nm,unknown,90 mm²,1992,Mach 8,Mach 32,End-of-life,ISA 16-bit,10 MHz,10 MHz,1 MB,VRAM,32 bit,40.00 MB/s,1.0,0.0,0,1,10.00 MPixel/s,0 MTexel/s,Single-slot,unknown,200 W,No outputs,109-011131-40,,,,,,,1992.json,NEC,VGA,,799 USD,,38800-1 (1568F0002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
